2024-08-06 12:59:21,926 - IP Packet: 192.168.254.137 -> 35.190.80.1 | TCP 2974 -> 443
2024-08-06 12:59:21,938 - IP Packet: 35.190.80.1 -> 192.168.254.137 | TCP 443 -> 2974
2024-08-06 12:59:21,959 - IP Packet: 13.107.5.93 -> 192.168.254.137 | TCP 443 -> 2971
2024-08-06 12:59:22,078 - IP Packet: 192.168.254.137 -> 239.255.255.250 | UDP 49668 -> 1900
2024-08-06 12:59:22,084 - IP Packet: 192.168.254.137 -> 239.255.255.250 | UDP 49666 -> 1900
2024-08-06 12:59:22,087 - IP Packet: 192.168.254.119 -> 192.168.254.137 | UDP 1900 -> 49668
2024-08-06 12:59:22,374 - IP Packet: 192.168.254.119 -> 192.168.254.137 | UDP 1900 -> 49666
2024-08-06 12:59:22,376 - IP Packet: 192.168.254.137 -> 192.168.254.254 | UDP 60276 -> 53
2024-08-06 12:59:22,393 - IP Packet: 192.168.254.254 -> 192.168.254.137 | UDP 53 -> 60276
2024-08-06 12:59:23,081 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,082 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,093 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,094 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,096 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,097 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,098 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,098 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,099 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,100 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,102 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,105 - IP Packet: 192.168.254.137 -> 239.255.255.250 | UDP 49666 -> 1900
2024-08-06 12:59:23,116 - IP Packet: 192.168.254.137 -> 239.255.255.250 | UDP 49668 -> 1900
2024-08-06 12:59:23,118 - IP Packet: 192.168.254.119 -> 192.168.254.137 | UDP 1900 -> 49666
2024-08-06 12:59:23,120 - IP Packet: 192.168.254.119 -> 192.168.254.137 | UDP 1900 -> 49668
2024-08-06 12:59:23,122 - IP Packet: 18.185.208.207 -> 192.168.254.137 | TCP 443 -> 1990
2024-08-06 12:59:23,273 - IP Packet: 192.168.254.137 -> 18.185.208.207 | TCP 1990 -> 443
2024-08-06 12:59:23,276 - IP Packet: 20.189.173.27 -> 192.168.254.137 | TCP 443 -> 2985
2024-08-06 12:59:23,279 - IP Packet: 20.189.173.27 -> 192.168.254.137 | TCP 443 -> 2985
2024-08-06 12:59:23,280 - IP Packet: 20.189.173.27 -> 192.168.254.137 | TCP 443 -> 2985
2024-08-06 12:59:23,282 - IP Packet: 20.189.173.27 -> 192.168.254.137 | TCP 443 -> 2985
2024-08-06 12:59:23,283 - IP Packet: 20.189.173.27 -> 192.168.254.137 | TCP 443 -> 2985
2024-08-06 12:59:23,284 - IP Packet: 20.189.173.27 -> 192.168.254.137 | TCP 443 -> 2985
2024-08-06 12:59:23,328 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,331 - IP Packet: 18.185.208.207 -> 192.168.254.137 | TCP 443 -> 1990
2024-08-06 12:59:23,516 - IP Packet: 20.189.173.27 -> 192.168.254.137 | TCP 443 -> 2985
2024-08-06 12:59:23,517 - IP Packet: 192.168.254.137 -> 20.189.173.27 | TCP 2985 -> 443
2024-08-06 12:59:23,807 - IP Packet: 20.189.173.27 -> 192.168.254.137 | TCP 443 -> 2985
2024-08-06 12:59:24,103 - IP Packet: 192.168.254.137 -> 239.255.255.250 | UDP 49668 -> 1900
2024-08-06 12:59:24,108 - IP Packet: 192.168.254.137 -> 239.255.255.250 | UDP 49666 -> 1900
2024-08-06 12:59:24,110 - IP Packet: 192.168.254.119 -> 192.168.254.137 | UDP 1900 -> 49668
2024-08-06 12:59:24,744 - IP Packet: 192.168.254.119 -> 192.168.254.137 | UDP 1900 -> 49666
2024-08-06 12:59:24,746 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,761 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,762 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,764 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,765 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,767 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,781 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,783 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,786 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,789 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,791 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,793 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,795 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,799 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,803 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,807 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,809 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,811 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,819 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,821 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,822 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,824 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,844 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,846 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:24,863 - IP Packet: 142.251.220.227 -> 192.168.254.137 | UDP 443 -> 52358
2024-08-06 12:59:24,866 - IP Packet: 192.168.254.137 -> 142.251.220.227 | UDP 52358 -> 443
2024-08-06 12:59:26,012 - IP Packet: 192.168.254.137 -> 163.70.130.4 | TCP 1949 -> 443
2024-08-06 12:59:26,014 - IP Packet: 192.168.254.137 -> 163.70.130.4 | TCP 1938 -> 443
2024-08-06 12:59:26,031 - IP Packet: 192.168.254.137 -> 163.70.130.4 | TCP 1942 -> 443
2024-08-06 12:59:26,032 - IP Packet: 163.70.130.4 -> 192.168.254.137 | TCP 443 -> 1942
2024-08-06 12:59:26,085 - IP Packet: 163.70.130.4 -> 192.168.254.137 | TCP 443 -> 1949
2024-08-06 12:59:26,088 - IP Packet: 163.70.130.4 -> 192.168.254.137 | TCP 443 -> 1938
2024-08-06 12:59:26,090 - ARP Packet: 192.168.254.119 -> 192.168.254.137 | Operation: Request
2024-08-06 12:59:26,194 - ARP Packet: 192.168.254.137 -> 192.168.254.119 | Operation: Reply
2024-08-06 12:59:26,196 - IP Packet: 163.70.130.4 -> 192.168.254.137 | TCP 443 -> 1949
2024-08-06 12:59:26,243 - IP Packet: 163.70.130.4 -> 192.168.254.137 | TCP 443 -> 1938
2024-08-06 12:59:26,244 - IP Packet: 163.70.130.4 -> 192.168.254.137 | TCP 443 -> 1942
2024-08-06 12:59:26,245 - IP Packet: 192.168.254.137 -> 163.70.130.4 | TCP 1942 -> 443
2024-08-06 12:59:27,098 - IP Packet: 192.168.254.137 -> 163.70.130.4 | TCP 1949 -> 443
2024-08-06 12:59:27,099 - IP Packet: 192.168.254.137 -> 163.70.130.4 | TCP 1938 -> 443
2024-08-06 12:59:27,099 - IP Packet: 192.168.254.137 -> 13.107.42.18 | TCP 2981 -> 443
2024-08-06 12:59:27,126 - IP Packet: 13.107.42.18 -> 192.168.254.137 | TCP 443 -> 2981
